address;name;description;unit;type;len;factor;offset;role;room;poll;wp
40002;Modbus_Firmware;Modbus-Firmware-Version;;uint16be;1;1;0;value;;true;false
40004;Hersteller;Hersteller;;string;16;1;0;value;;true;false
40020;Modell;Modell;;string;16;1;0;value;;true;false
40036;Seriennummer;Seriennummer;;string;16;1;0;value;;true;false
40052;Firmware;Firmware Release;;string;16;1;0;value;;true;false
40068;PV_Leistung;Photovoltaik-Leistung in Watt;W;int32sw;2;1;0;value;;true;false
40070;Batterie_Leistung;Batterie-Leistung in Watt;W;int32sw;2;1;0;value;;true;false
40072;Hausverbrauch_Leistung;Hausverbrauchs-Leistung in Watt;W;int32sw;2;1;0;value;;true;false
40074;Netz_Leistung;Leistung am Netzübergabepunkt in Watt;W;int32sw;2;1;0;value;;true;false
40076;Zusatz_Leistung;Leistung aller zusätzlichen Einspeiser in Watt;W;int32sw;2;1;0;value;;true;false
40078;Wallboxleistung;Leistung der Wallbox;W;int32sw;2;1;0;value;;true;false
40080;Solare Wallboxleistung;Solare Leistung der Wallbox;W;int32sw;2;1;0;value;;true;false
40082;Autarkie_Eigenverbrauch;Autarkie und Eigenverbrauch in Prozent;;uint16be;1;1;0;value;;true;false
40083;Batterie_SOC;Batterie-SOC in Prozent;%;uint16be;1;1;0;value;;true;false
40084;Emergency_Power_Status;Emergency-Power Status;;uint16be;1;1;0;value;;true;false
40085;EMS_Status;EMS-Status;;uint16be;1;1;0;value;;true;false
40088;WallBox_0_CTRL;Wallbox 1 Steuerung;;uint16be;1;1;0;value;;true;false
40089;WallBox_1_CTRL;Wallbox 2 Steuerung;;uint16be;1;1;0;value;;true;false
40090;WallBox_2_CTRL;Wallbox 3 Steuerung;;uint16be;1;1;0;value;;true;false
40091;WallBox_3_CTRL;Wallbox 4 Steuerung;;uint16be;1;1;0;value;;true;false
40092;WallBox_4_CTRL;Wallbox 5 Steuerung;;uint16be;1;1;0;value;;true;false
40093;WallBox_5_CTRL;Wallbox 6 Steuerung;;uint16be;1;1;0;value;;true;false
40094;WallBox_6_CTRL;Wallbox 7 Steuerung;;uint16be;1;1;0;value;;true;false
40096;DC_String_1_Voltage;Spannung String 1 in Volt;V;uint16be;1;1;0;value;;true;false
40097;DC_String_2_Voltage;Spannung String 2 in Volt;V;uint16be;1;1;0;value;;true;false
40098;DC_String_3_Voltage;Spannung String 3 in Volt;V;uint16be;1;1;0;value;;true;false
40099;DC_String_1_Current;Strom String 1 in Ampere;A;uint16be;1;0.01;0;value;;true;false
40100;DC_String_2_Current;Strom String 2 in Ampere;A;uint16be;1;0.01;0;value;;true;false
40101;DC_String_3_Current;Strom String 3 in Ampere;A;uint16be;1;0.01;0;value;;true;false
40102;DC_String_1_Power;Leistung String 1 in Watt;W;uint16be;1;1;0;value;;true;false
40103;DC_String_2_Power;Leistung String 2 in Watt;W;uint16be;1;1;0;value;;true;false
40104;DC_String_3_Power;Leistung String 3 in Watt;W;uint16be;1;1;0;value;;true;false
40105;LM0_Typ;Leistungsmesser 0 Typ;;uint16be;1;1;0;value;;true;false
40106;LM0_L1;Leistungsmesser 0 L1 in Watt;W;int16be;1;1;0;value;;true;false
40107;LM0_L2;Leistungsmesser 0 L2 in Watt;W;int16be;1;1;0;value;;true;false
40108;LM0_L3;Leistungsmesser 0 L3 in Watt;W;int16be;1;1;0;value;;true;false
40109;LM1_Typ;Leistungsmesser 1 Typ;;uint16be;1;1;0;value;;true;false
40110;LM1_L1;Leistungsmesser 1 L1 in Watt;W;int16be;1;1;0;value;;true;false
40111;LM1_L2;Leistungsmesser 1 L2 in Watt;W;int16be;1;1;0;value;;true;false
40112;LM1_L3;Leistungsmesser 1 L3 in Watt;W;int16be;1;1;0;value;;true;false
40113;LM2_Typ;Leistungsmesser 2 Typ;;uint16be;1;1;0;value;;true;false
40114;LM2_L1;Leistungsmesser 2 L1 in Watt;W;int16be;1;1;0;value;;true;false
40115;LM2_L2;Leistungsmesser 2 L2 in Watt;W;int16be;1;1;0;value;;true;false
40116;LM2_L3;Leistungsmesser 2 L3 in Watt;W;int16be;1;1;0;value;;true;false
40117;LM3_Typ;Leistungsmesser 3 Typ;;uint16be;1;1;0;value;;true;false
40118;LM3_L1;Leistungsmesser 3 L1 in Watt;W;int16be;1;1;0;value;;true;false
40119;LM3_L2;Leistungsmesser 3 L2 in Watt;W;int16be;1;1;0;value;;true;false
40120;LM3_L3;Leistungsmesser 3 L3 in Watt;W;int16be;1;1;0;value;;true;false
40121;LM4_Typ;Leistungsmesser 4 Typ;;uint16be;1;1;0;value;;true;false
40122;LM4_L1;Leistungsmesser 4 L1 in Watt;W;int16be;1;1;0;value;;true;false
40123;LM4_L2;Leistungsmesser 4 L2 in Watt;W;int16be;1;1;0;value;;true;false
40124;LM4_L3;Leistungsmesser 4 L3 in Watt;W;int16be;1;1;0;value;;true;false
40125;LM5_Typ;Leistungsmesser 5 Typ;;uint16be;1;1;0;value;;true;false
40126;LM5_L1;Leistungsmesser 5 L1 in Watt;W;int16be;1;1;0;value;;true;false
40127;LM5_L2;Leistungsmesser 5 L2 in Watt;W;int16be;1;1;0;value;;true;false
40128;LM5_L3;Leistungsmesser 5 L3 in Watt;W;int16be;1;1;0;value;;true;false
40129;LM6_Typ;Leistungsmesser 6 Typ;;uint16be;1;1;0;value;;true;false
40130;LM6_L1;Leistungsmesser 6 L1 in Watt;W;int16be;1;1;0;value;;true;false
40131;LM6_L2;Leistungsmesser 6 L2 in Watt;W;int16be;1;1;0;value;;true;false
40132;LM6_L3;Leistungsmesser 6 L3 in Watt;W;int16be;1;1;0;value;;true;false
